127.0.0.1 - - [16/Mar/2024:15:17:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:17:13 +0530] "GET /Phone_Book/index.jsp HTTP/1.1" 200 3916
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:17:13 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:18:12 +0530] "GET /Phone_Book/register.jsp HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:18:12 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:18:27 +0530] "POST /Phone_Book/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:18:27 +0530] "GET /Phone_Book/register.jsp HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:18:27 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:21:05 +0530] "GET /Phone_Book/register.jsp HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:21:05 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:21:19 +0530] "POST /Phone_Book/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:21:19 +0530] "GET /Phone_Book/register.jsp HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:21:20 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:26:32 +0530] "GET /Phone_Book/register.jsp HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:26:32 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:26:45 +0530] "POST /Phone_Book/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:26:45 +0530] "GET /Phone_Book/register.jsp HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:26:45 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:29:40 +0530] "GET /Phone_Book/login.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:29:40 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:29:47 +0530] "POST /Phone_Book/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:29:47 +0530] "GET /Phone_Book/login.jsp HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:29:47 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [16/Mar/2024:20:22:46 +0530] "GET /Phone_Book/style.css HTTP/1.1" 404 775
